Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
DST,Seahawks ,4200,Cle@Sea 04:05PM ET,10.538,Sea
DST,Cardinals ,3900,Ari@Phi 08:30PM ET,9.308,Ari
DST,Chiefs ,3700,KC@Bal 01:00PM ET,10.231,KC
DST,Patriots ,3700,Ten@NE 01:00PM ET,8,NE
DST,Bengals ,3400,Cin@SF 04:25PM ET,8.692,Cin
DST,Broncos ,3400,Den@Pit 04:25PM ET,12.462,Den
DST,Jets ,3300,NYJ@Dal 08:25PM ET,7.385,NYJ
DST,Panthers ,3300,Car@NYG 01:00PM ET,11.538,Car
DST,Packers ,3000,GB@Oak 04:05PM ET,7.154,GB
DST,Bills ,2800,Buf@Was 01:00PM ET,6.154,Buf
DST,Dolphins ,2800,Mia@SD 04:25PM ET,6.385,Mia
DST,Lions ,2700,Det@NO 08:30PM ET,6,Det
DST,Rams ,2700,TB@StL 08:25PM ET,8.692,StL
DST,Steelers ,2700,Den@Pit 04:25PM ET,9.385,Pit
DST,Buccaneers ,2600,TB@StL 08:25PM ET,7.538,TB
DST,Falcons ,2500,Atl@Jax 01:00PM ET,5.846,Atl
DST,Texans ,2500,Hou@Ind 01:00PM ET,6.846,Hou
DST,Vikings ,2500,Chi@Min 01:00PM ET,7.308,Min
DST,Bears ,2400,Chi@Min 01:00PM ET,5.462,Chi
DST,Browns ,2400,Cle@Sea 04:05PM ET,5.846,Cle
DST,Jaguars ,2400,Atl@Jax 01:00PM ET,7.154,Jax
DST,Redskins ,2300,Buf@Was 01:00PM ET,7.538,Was
DST,Giants ,2200,Car@NYG 01:00PM ET,8.538,NYG
DST,Eagles ,2200,Ari@Phi 08:30PM ET,9.308,Phi
DST,Chargers ,2200,Mia@SD 04:25PM ET,4.615,SD
DST,Cowboys ,2100,NYJ@Dal 08:25PM ET,5.231,Dal
DST,49ers ,2100,Cin@SF 04:25PM ET,4.769,SF
DST,Titans ,2000,Ten@NE 01:00PM ET,6.154,Ten
DST,Colts ,2000,Hou@Ind 01:00PM ET,6.692,Ind
DST,Raiders ,2000,GB@Oak 04:05PM ET,6.615,Oak
DST,Saints ,2000,Det@NO 08:30PM ET,5,NO
DST,Ravens ,2000,KC@Bal 01:00PM ET,6.692,Bal
QB,Tom Brady,7800,Ten@NE 01:00PM ET,26.048,NE
QB,Cam Newton,7800,Car@NYG 01:00PM ET,24.498,Car
QB,Aaron Rodgers,7400,GB@Oak 04:05PM ET,21.954,GB
QB,Carson Palmer,7000,Ari@Phi 08:30PM ET,23.732,Ari
QB,Russell Wilson,7000,Cle@Sea 04:05PM ET,21.628,Sea
QB,Drew Brees,6600,Det@NO 08:30PM ET,22.238,NO
QB,Andrew Luck,6500,Hou@Ind 01:00PM ET,21.406,Ind
QB,Ben Roethlisberger,6400,Den@Pit 04:25PM ET,22.773,Pit
QB,Andy Dalton,6400,Cin@SF 04:25PM ET,20.4,Cin
QB,Matthew Stafford,6100,Det@NO 08:30PM ET,18.743,Det
QB,Blake Bortles,6100,Atl@Jax 01:00PM ET,22.389,Jax
QB,Peyton Manning,5800,Den@Pit 04:25PM ET,12.422,Den
QB,Matt Ryan,5700,Atl@Jax 01:00PM ET,16.569,Atl
QB,Tony Romo,5600,NYJ@Dal 08:25PM ET,12.915,Dal
QB,Eli Manning,5600,Car@NYG 01:00PM ET,20.454,NYG
QB,Tyrod Taylor,5600,Buf@Was 01:00PM ET,20.005,Buf
QB,Derek Carr,5600,GB@Oak 04:05PM ET,19.686,Oak
QB,Philip Rivers,5500,Mia@SD 04:25PM ET,20.488,SD
QB,Marcus Mariota,5500,Ten@NE 01:00PM ET,21.431,Ten
QB,Jameis Winston,5500,TB@StL 08:25PM ET,17.905,TB
QB,Ryan Fitzpatrick,5400,NYJ@Dal 08:25PM ET,19.335,NYJ
QB,Jay Cutler,5300,Chi@Min 01:00PM ET,17.323,Chi
QB,Brian Hoyer,5200,Hou@Ind 01:00PM ET,16.568,Hou
QB,Kirk Cousins,5200,Buf@Was 01:00PM ET,18.103,Was
QB,Alex Smith,5100,KC@Bal 01:00PM ET,17.92,KC
QB,Sam Bradford,5100,Ari@Phi 08:30PM ET,14.533,Phi
QB,Ryan Tannehill,5100,Mia@SD 04:25PM ET,17.817,Mia
QB,Blaine Gabbert,5100,Cin@SF 04:25PM ET,18.436,SF
QB,Brock Osweiler,5100,Den@Pit 04:25PM ET,11.55,Den
QB,Teddy Bridgewater,5100,Chi@Min 01:00PM ET,13.109,Min
QB,Matt Hasselbeck,5000,Hou@Ind 01:00PM ET,14.693,Ind
QB,Matt Schaub,5000,KC@Bal 01:00PM ET,16.8,Bal
QB,Geno Smith,5000,NYJ@Dal 08:25PM ET,21,NYJ
RB,Devonta Freeman,7500,Atl@Jax 01:00PM ET,22.742,Atl
RB,Adrian Peterson,7100,Chi@Min 01:00PM ET,18.669,Min
RB,Todd Gurley,6700,TB@StL 08:25PM ET,17.5,StL
RB,DeAngelo Williams,6600,Den@Pit 04:25PM ET,14.569,Pit
RB,Doug Martin,6600,TB@StL 08:25PM ET,16.177,TB
RB,Matt Forte,6500,Chi@Min 01:00PM ET,16.56,Chi
RB,Marshawn Lynch,6500,Cle@Sea 04:05PM ET,12.243,Sea
RB,Thomas Rawls,6500,Cle@Sea 04:05PM ET,10.815,Sea
RB,LeSean McCoy,6300,Buf@Was 01:00PM ET,16.818,Buf
RB,Lamar Miller,6300,Mia@SD 04:25PM ET,16.346,Mia
RB,Jonathan Stewart,6000,Car@NYG 01:00PM ET,13.138,Car
RB,David Johnson,5700,Ari@Phi 08:30PM ET,10.869,Ari
RB,Chris Ivory,5200,NYJ@Dal 08:25PM ET,16.017,NYJ
RB,Eddie Lacy,5200,GB@Oak 04:05PM ET,10.617,GB
RB,Jeremy Hill,5000,Cin@SF 04:25PM ET,10.123,Cin
RB,Darren McFadden,4900,NYJ@Dal 08:25PM ET,12.931,Dal
RB,T.J. Yeldon,4900,Atl@Jax 01:00PM ET,13.492,Jax
RB,Latavius Murray,4500,GB@Oak 04:05PM ET,13.115,Oak
RB,Giovani Bernard,4500,Cin@SF 04:25PM ET,12.615,Cin
RB,James Starks,4400,GB@Oak 04:05PM ET,12.262,GB
RB,LeGarrette Blount,4400,Ten@NE 01:00PM ET,10.467,NE
RB,Ronnie Hillman,4300,Den@Pit 04:25PM ET,10.438,Den
RB,Danny Woodhead,4200,Mia@SD 04:25PM ET,13.392,SD
RB,Frank Gore,4000,Hou@Ind 01:00PM ET,12.185,Ind
RB,DeMarco Murray,4000,Ari@Phi 08:30PM ET,13.592,Phi
RB,Ryan Mathews,4000,Ari@Phi 08:30PM ET,11.18,Phi
RB,Theo Riddick,4000,Det@NO 08:30PM ET,11.723,Det
RB,Jeremy Langford,3900,Chi@Min 01:00PM ET,10.323,Chi
RB,Bilal Powell,3600,NYJ@Dal 08:25PM ET,11.133,NYJ
RB,Karlos Williams,3600,Buf@Was 01:00PM ET,12.35,Buf
RB,Duke Johnson,3500,Cle@Sea 04:05PM ET,10.4,Cle
RB,Charles Sims,3300,TB@StL 08:25PM ET,10.246,TB
TE,Rob Gronkowski,7700,Ten@NE 01:00PM ET,19.817,NE
TE,Greg Olsen,6900,Car@NYG 01:00PM ET,15.838,Car
TE,Jordan Reed,5900,Buf@Was 01:00PM ET,16.309,Was
TE,Delanie Walker,5600,Ten@NE 01:00PM ET,15.842,Ten
TE,Tyler Eifert,5200,Cin@SF 04:25PM ET,14.95,Cin
TE,Gary Barnidge,5000,Cle@Sea 04:05PM ET,16.315,Cle
TE,Benjamin Watson,4800,Det@NO 08:30PM ET,12.4,NO
TE,Julius Thomas,4700,Atl@Jax 01:00PM ET,11.578,Jax
TE,Antonio Gates,4600,Mia@SD 04:25PM ET,14.838,SD
TE,Travis Kelce,4400,KC@Bal 01:00PM ET,12.531,KC
TE,Jason Witten,4300,NYJ@Dal 08:25PM ET,10.415,Dal
TE,Richard Rodgers,4300,GB@Oak 04:05PM ET,10.869,GB
TE,Austin Seferian-Jenkins,3400,TB@StL 08:25PM ET,12.025,TB
TE,Crockett Gillmore,3000,KC@Bal 01:00PM ET,10.12,Bal
WR,Odell Beckham,9200,Car@NYG 01:00PM ET,24.1,NYG
WR,Antonio Brown,8700,Den@Pit 04:25PM ET,24.192,Pit
WR,Julio Jones,8500,Atl@Jax 01:00PM ET,23.892,Atl
WR,DeAndre Hopkins,8500,Hou@Ind 01:00PM ET,22.162,Hou
WR,A.J. Green,7900,Cin@SF 04:25PM ET,19.377,Cin
WR,Brandon Marshall,7600,NYJ@Dal 08:25PM ET,22.746,NYJ
WR,Allen Robinson,7600,Atl@Jax 01:00PM ET,19.877,Jax
WR,Julian Edelman,7400,Ten@NE 01:00PM ET,19.611,NE
WR,Mike Evans,7400,TB@StL 08:25PM ET,14.575,TB
WR,Larry Fitzgerald,7300,Ari@Phi 08:30PM ET,19.523,Ari
WR,Alshon Jeffery,7300,Chi@Min 01:00PM ET,20.338,Chi
WR,Calvin Johnson,6900,Det@NO 08:30PM ET,16.392,Det
WR,Demaryius Thomas,6800,Den@Pit 04:25PM ET,16.9,Den
