,Name,Team,Position,Salary,Points,,,
1,Matthew Stafford,DET,QB,6100,40.331056302,,,
2,Tom Brady,NE,QB,7800,36.8530135483,,,6100
3,Drew Brees,NO,QB,6600,35.4180988352,,,3900
4,Cam Newton,CAR,QB,7800,33.944001727,,,6600
5,Kirk Cousins,WAS,QB,5200,33.5062289058,,,5000
6,Russell Wilson,SEA,QB,7000,33.1301004755,,,5500
7,Carson Palmer,ARI,QB,7000,31.8437941561,,,8700
8,Ryan Tannehill,MIA,QB,5100,23.5567528892,,,5500
9,Aaron Rodgers,GB,QB,7400,23.3027026227,,,4400
10,Jameis Winston,TB,QB,5500,21.6648431648,,,
11,Jay Cutler,CHI,QB,5300,20.6732757714,,,
12,Ben Roethlisberger,PIT,QB,6400,20.0456112463,,,
13,Andy Dalton,CIN,QB,6400,19.3477583646,,,
14,Alex Smith,KC,QB,5100,18.3909531658,,,
15,Marcus Mariota,TEN,QB,5500,17.7117496876,,,
16,Brian Hoyer,HOU,QB,5200,17.573927696,,,
17,Philip Rivers,SD,QB,5500,16.8568270011,,,
18,Derek Carr,OAK,QB,5600,16.3168514515,,,
19,Blake Bortles,JAC,QB,6100,15.5567436709,,,
20,Matt Ryan,ATL,QB,5700,15.5517712124,,,
21,Ryan Fitzpatrick,NYJ,QB,5400,15.2135386602,,,
22,Tyrod Taylor,BUF,QB,5600,14.8932150815,,,
23,Teddy Bridgewater,MIN,QB,5100,13.2544338521,,,
24,Eli Manning,NYG,QB,5600,12.869666958,,,
25,Sam Bradford,PHI,QB,5100,11.6731910696,,,
26,Andrew Luck,IND,QB,6500,10.1611234506,,,
27,Brock Osweiler,DEN,QB,5100,9.8642972813,,,
28,Blaine Gabbert,SF,QB,5100,6.5935216607,,,
29,Peyton Manning,DEN,QB,5800,5.6740462789,,,
30,Matt Hasselbeck,IND,QB,5000,4.604015804,,,
31,Geno Smith,NYJ,QB,5000,4.1969425855,,,
32,Tony Romo,DAL,QB,5600,0.3385312419,,,
33,Matt Schaub,BAL,QB,5000,0,,,
34,Jeremy Langford,CHI,RB,3900,26.3753302727,,,
35,Doug Martin,TB,RB,6600,18.3981752669,,,
36,Lamar Miller,MIA,RB,6300,18.3678415296,,,
37,Adrian Peterson,MIN,RB,7100,17.7276087151,,,
38,Jeremy Hill,CIN,RB,5000,15.7109821638,,,
39,LeSean McCoy,BUF,RB,6300,15.4917564367,,,
40,Danny Woodhead,SD,RB,4200,14.0645526441,,,
41,Latavius Murray,OAK,RB,4500,13.5377573596,,,
42,DeAngelo Williams,PIT,RB,6600,13.3869782755,,,
43,Giovani Bernard,CIN,RB,4500,13.1212406553,,,
44,T.J. Yeldon,JAC,RB,4900,12.5510782557,,,
45,Todd Gurley,STL,RB,6700,11.921854154,,,
46,David Johnson,ARI,RB,5700,10.4524437182,,,
47,Devonta Freeman,ATL,RB,7500,10.2198420556,,,
48,Eddie Lacy,GB,RB,5200,9.0410611873,,,
49,Duke Johnson,CLE,RB,3500,8.9702121264,,,
50,James Starks,GB,RB,4400,8.9661965059,,,
51,LeGarrette Blount,NE,RB,4400,8.8267269592,,,
52,Darren McFadden,DAL,RB,4900,8.819902931,,,
53,Frank Gore,IND,RB,4000,7.1994344048,,,
54,Bilal Powell,NYJ,RB,3600,6.9257078539,,,
55,Chris Ivory,NYJ,RB,5200,6.7304613897,,,
56,Ryan Mathews,PHI,RB,4000,6.7065856349,,,
57,Charles Sims,TB,RB,3300,6.583258706,,,
58,DeMarco Murray,PHI,RB,4000,6.5118767377,,,
59,Theo Riddick,DET,RB,4000,5.9280362661,,,
