Name,Team,Position,Salary,FumblesLost,OFRTD,PassingInterceptions,PassingTDs,PassingYards,ReceivingTDs,ReceivingYards,Receptions,RushingTDs,RushingYards,TwoPtsPassing,TwoPtsReceiving,TwoPtsRushing
Matt Hasselbeck,IND,QB,5000,0.0,0.0,0.0,0.309877340215,86.0214879195,0.0,0.0,0.0,0.0,-0.7635307369,0.0,0.0,0.0
Peyton Manning,DEN,QB,5800,0.0,0.0,1.32049518573,0.723047127236,102.558823892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,7800,0.0,0.2,0.52819807424,3.71852808264,348.913792628,0.0,7.85547000288,0.0,0.49021276596,6.23723990784,0.0,0.0,0.0
Drew Brees,NO,QB,6600,0.0,0.0,0.3301237964,4.028405423,367.30751589,0.0,0.0,0.0,0.272340425506,3.0825775092,0.0,0.0,0.0
Carson Palmer,ARI,QB,7000,0.0,0.0,0.22008253095,3.71852808255,323.76667707,0.0,0.0,0.0,0.136170212775,4.220759974,0.0,0.0,0.0
Antonio Gates,SD,TE,4600,0.0,0.0,0.0,0.0,0.0,0.0,34.85596925,0.0,0.0,0.0,0.0,0.0,0.0
Tony Romo,DAL,QB,5600,0.0,0.0,1.3204951857,0.0,41.4756606903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anquan Boldin,SF,WR,3900,0.0,0.0,0.0,0.0,0.0,0.0,38.6188309496,0.0,0.0,0.0,0.0,0.0,0.0
Jason Witten,DAL,TE,4300,0.0,0.0,0.0,0.0,0.0,0.0,37.1715826942,0.0,0.0,0.0,0.0,0.0,0.0
Matt Schaub,BAL,QB,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eli Manning,NYG,QB,5600,0.854045037448,0.0,0.704264098963,0.8676565526,268.217541833,0.0,0.0,0.0,0.0,2.28648210723,0.0,0.0,0.0
Larry Fitzgerald,ARI,WR,7300,0.0,0.0,0.0,0.0,0.0,0.41316978695,79.5174756734,0.0,0.0,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,QB,6400,0.0,0.0,0.0,2.32408005175,226.961127723,0.0,0.0,0.0,0.0,1.70845930392,0.75,0.0,0.0
Philip Rivers,SD,QB,5500,0.0,0.0,1.6506189821,1.5493867011,277.732362984,0.0,0.0,0.0,0.0,2.0060465944,0.5,0.0,0.0
Benjamin Watson,NO,TE,4800,0.0,0.0,0.0,0.0,0.0,0.619754680498,76.1339605694,0.0,0.0,0.0,0.0,0.0,0.0
Nate Washington,HOU,WR,3400,0.0,0.0,0.0,0.0,0.0,0.550893049294,70.8386403721,0.0,0.0,0.0,0.0,0.0,0.0
Alex Smith,KC,QB,5100,0.0,0.0,0.0,1.7043253712,186.123853853,0.0,0.0,0.0,0.136170212753,26.450095838,0.3333333333,0.0,0.0
Aaron Rodgers,GB,QB,7400,0.0,0.25,0.22008253095,2.0658489348,185.314992424,0.0,0.0,0.0,0.4085106383,28.9572588772,0.5,0.0,0.0
Vincent Jackson,TB,WR,4500,0.0,0.0,0.0,0.0,0.0,0.21691413815,37.4031034484,0.0,0.0,0.0,0.0,0.0,0.0
Frank Gore,IND,RB,4000,0.0,0.0,0.0,0.0,0.0,0.0,17.4773816725,0.0,0.272340425506,38.176536845,0.0,0.0,0.0
Ryan Fitzpatrick,NYJ,QB,5400,0.0,0.0,0.22008253095,0.51646223375,211.562562162,0.0,0.0,0.0,0.4085106383,24.5420593988,0.0,0.0,0.0
Jay Cutler,CHI,QB,5300,0.177926049482,0.3333333333,0.0,2.0658489348,227.369617372,0.0,0.0,0.0,0.0,14.9302138702,0.0,0.0,0.0
DeAngelo Williams,PIT,RB,6600,0.100083402825,0.25,0.0,0.0,0.0,0.0,23.730065632,0.0,0.4085106383,66.6299128531,0.0,0.25,0.0
Brandon Marshall,NYJ,WR,7600,0.0,0.0,0.0,0.0,0.0,0.2065848935,78.8612296128,0.0,0.0,0.0,0.0,0.0,0.0
Delanie Walker,TEN,TE,5600,0.0,0.0,0.0,0.0,0.0,0.3098773402,76.4904960409,0.0,0.0,0.0,0.0,0.25,0.0
Calvin Johnson,DET,WR,6900,0.0,0.0,0.0,0.0,0.0,0.0,82.8946047506,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Peterson,MIN,RB,7100,0.0,0.3333333333,0.0,0.0,0.0,0.0,12.1183093786,0.0,1.08936170219,79.796075643,0.0,0.0,0.0
Ted Ginn,CAR,WR,4600,0.0,0.0,0.0,0.0,0.0,0.688616311634,51.4670963709,0.0,0.0,0.0,0.0,0.0,0.0
Marshawn Lynch,SEA,RB,6500,0.0,0.0,0.0,0.0,0.0,0.0,2.69901895923,0.0,0.272340425506,14.5402809888,0.0,0.0,0.0
Greg Olsen,CAR,TE,6900,0.355852098931,0.0,0.0,0.0,0.0,0.0,114.8745591,0.0,0.0,0.0,0.0,0.0,0.0
James Jones,GB,WR,4000,0.0,0.25,0.0,0.0,0.0,0.25823111685,37.2222380057,0.0,0.0,0.0,0.0,0.25,0.0
Danny Woodhead,SD,RB,4200,0.0,0.0,0.0,0.0,0.0,1.16204002583,51.865682244,0.0,0.0,19.0574426468,0.0,0.0,0.0
Danny Amendola,NE,WR,5700,0.0,0.0,0.0,0.0,7.85547000288,0.61975468044,65.462250024,0.0,0.0,1.55930997696,0.0,0.0,0.0
Matt Ryan,ATL,QB,5700,0.40033361135,0.5,0.9903713893,0.697224015525,277.674645157,0.0,0.0,0.0,0.0,0.46594344655,0.0,0.0,0.0
Darren McFadden,DAL,RB,4900,0.0,0.0,0.0,0.0,0.0,0.0,38.7367019655,0.0,0.0,42.7956606784,0.0,0.3333333333,0.0
Jonathan Stewart,CAR,RB,6000,0.355852098931,0.0,0.0,0.0,0.0,0.0,16.4694708386,0.0,0.72624113477,101.593323717,0.0,0.0,0.0
Matt Forte,CHI,RB,6500,0.0,0.0,0.0,0.0,0.0,0.0,2.5483518759,0.0,0.0,21.1912712998,0.0,0.0,0.0
DeSean Jackson,WAS,WR,4500,0.200166805675,0.0,0.0,0.0,0.0,0.46481601035,56.5439925947,0.0,0.0,0.0,0.0,0.0,0.0
Gary Barnidge,CLE,TE,5000,0.0,0.0,0.0,0.0,0.0,0.344308155766,97.2049470082,0.0,0.0,0.0,0.0,0.0,0.0
Pierre Garcon,WAS,WR,4100,0.0,0.0,0.0,0.0,0.0,0.0,45.8303939978,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Stafford,DET,QB,6100,0.0,0.6666666667,0.586886749185,5.1646223371,320.647262332,0.0,0.0,0.0,0.0,4.33563209314,0.0,0.0,0.0
Brian Hoyer,HOU,QB,5200,0.0,0.3333333333,1.7606602476,1.6526791478,240.432626682,0.0,0.0,0.0,0.0,11.065662853,0.0,0.0,0.0
Michael Crabtree,OAK,WR,5700,0.0,0.0,0.0,0.0,0.0,0.413169786954,48.6256364046,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Maclin,KC,WR,5500,0.6672226855,0.0,0.0,0.0,0.0,1.13621691419,42.396548293,0.0,0.0,0.0,0.0,0.0,0.0
LeSean McCoy,BUF,RB,6300,0.80066722268,0.2,0.0,0.0,0.0,0.18592640414,38.831193608,0.0,0.08170212766,92.0353310775,0.0,0.0,0.2
Julian Edelman,NE,WR,7400,0.16013344454,0.0,0.0,0.0,0.0,0.92963202066,41.4594250152,0.0,0.0,0.0,0.0,0.0,0.0
LeGarrette Blount,NE,RB,4400,0.0,0.2,0.0,0.0,0.0,0.0,1.52745250056,0.0,0.24510638298,60.033434113,0.0,0.0,0.0
Chris Ivory,NYJ,RB,5200,0.0,0.0,0.0,0.0,0.0,0.10329244675,14.9679954223,0.0,0.0,46.1390716697,0.0,0.0,0.0
Rob Gronkowski,NE,TE,7700,0.0,0.0,0.0,0.0,0.0,0.61975468044,66.5532875244,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Sanders,DEN,WR,5500,0.0,0.0,0.0,0.0,0.0,0.361523563564,39.7826042853,0.0,0.0,1.13027842002,0.0,0.0,0.0
Eric Decker,NYJ,WR,6300,0.0,0.0,0.0,0.0,0.0,0.10329244675,75.063380028,0.0,0.0,0.0,0.0,0.0,0.0
James Starks,GB,RB,4400,0.0,0.25,0.0,0.0,0.0,0.25823111685,33.2412499837,0.0,0.0,25.9268480644,0.0,0.0,0.0
Antonio Brown,PIT,WR,8700,0.100083402825,0.0,0.0,0.0,0.0,1.16204002587,99.6662756544,0.0,0.0,3.41691860785,0.0,0.25,0.0
Sam Bradford,PHI,QB,5100,0.0,0.3333333333,0.146721687285,0.550893049294,188.622199851,0.0,0.0,0.0,0.0,0.7145256585,0.0,0.0,0.0
Ryan Mathews,PHI,RB,4000,0.0,0.0,0.0,0.0,0.0,0.0,10.1535759754,0.0,0.726241134694,13.337812292,0.0,0.0,0.0
