FumblesLost,OFRTD,PassingInterceptions,PassingTDs,PassingYards,ReceivingTDs,ReceivingYards,Receptions,RushingTDs,RushingYards,Salary,TwoPtsPassing,TwoPtsReceiving,TwoPtsRushing,Name,Team,Position,GSIS_ID,HmeFldAdv,NextGame
0.0,0.0,0.0,0.0,0.0,1.0,128.0,0.0,0.0,0.0,7900,0.0,0.0,0.0,A.J. Green,CIN,WR,00-0027942,AWY,Cin@SF 04:25PM ET
0.0,1.0,1.0,4.0,369.0,0.0,0.0,0.0,1.0,31.0,7400,1.0,0.0,0.0,Aaron Rodgers,GB,QB,00-0023459,AWY,GB@Oak 04:05PM ET
1.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0,203.0,7100,0.0,0.0,0.0,Adrian Peterson,MIN,RB,00-0025394,AWY,Chi@Min 01:00PM ET
0.0,0.0,0.0,2.0,253.0,0.0,0.0,0.0,1.0,33.0,5100,1.0,0.0,0.0,Alex Smith,KC,QB,00-0023436,AWY,KC@Bal 01:00PM ET
0.0,0.0,0.0,0.0,0.0,1.0,122.0,0.0,0.0,0.0,5600,0.0,0.0,0.0,Allen Hurns,JAC,WR,00-0030821,AWY,Atl@Jax 01:00PM ET
0.0,0.0,0.0,0.0,0.0,3.0,153.0,0.0,0.0,0.0,7600,0.0,0.0,0.0,Allen Robinson,JAC,WR,00-0031428,AWY,Atl@Jax 01:00PM ET
0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,7300,0.0,0.0,0.0,Alshon Jeffery,CHI,WR,00-0029137,AWY,Chi@Min 01:00PM ET
0.0,0.0,0.0,0.0,0.0,1.0,133.0,0.0,0.0,0.0,6000,0.0,0.0,0.0,Amari Cooper,OAK,WR,00-0031544,AWY,GB@Oak 04:05PM ET
0.0,1.0,3.0,2.0,231.0,0.0,0.0,0.0,0.0,35.0,6500,0.0,0.0,0.0,Andrew Luck,IND,QB,00-0029668,AWY,Hou@Ind 01:00PM ET
1.0,1.0,2.0,2.0,315.0,0.0,0.0,0.0,1.0,34.0,6400,0.0,0.0,0.0,Andy Dalton,CIN,QB,00-0027973,AWY,Cin@SF 04:25PM ET
0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,3900,0.0,0.0,0.0,Anquan Boldin,SF,WR,00-0022084,AWY,Cin@SF 04:25PM ET
0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,6.0,8700,0.0,0.0,0.0,Antonio Brown,PIT,WR,00-0027793,AWY,Den@Pit 04:25PM ET
0.0,0.0,0.0,0.0,0.0,2.0,76.0,0.0,0.0,0.0,4600,0.0,0.0,0.0,Antonio Gates,SD,TE,00-0021547,AWY,Mia@SD 04:25PM ET
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400,0.0,0.0,0.0,Austin Seferian-Jenkins,TB,TE,00-0031418,AWY,TB@StL 08:25PM ET
0.0,1.0,2.0,1.0,456.0,0.0,0.0,0.0,0.0,18.0,6400,1.0,0.0,0.0,Ben Roethlisberger,PIT,QB,00-0022924,AWY,Den@Pit 04:25PM ET
0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,4800,0.0,0.0,0.0,Benjamin Watson,NO,TE,00-0022943,AWY,Det@NO 08:30PM ET
0.0,1.0,0.0,0.0,0.0,1.0,91.0,0.0,0.0,22.0,3600,0.0,0.0,0.0,Bilal Powell,NYJ,RB,00-0028064,AWY,NYJ@Dal 08:25PM ET
0.0,0.0,0.0,1.0,264.0,0.0,0.0,0.0,1.0,75.0,5100,0.0,0.0,0.0,Blaine Gabbert,SF,QB,00-0027948,AWY,Cin@SF 04:25PM ET
1.0,1.0,2.0,5.0,381.0,0.0,0.0,0.0,0.0,32.0,6100,0.0,0.0,0.0,Blake Bortles,JAC,QB,00-0031407,AWY,Atl@Jax 01:00PM ET
0.0,0.0,0.0,0.0,0.0,2.0,98.0,0.0,0.0,11.0,5900,0.0,0.0,0.0,Brandin Cooks,NO,WR,00-0031236,AWY,Det@NO 08:30PM ET
0.0,0.0,0.0,0.0,0.0,1.0,131.0,0.0,0.0,0.0,7600,0.0,0.0,0.0,Brandon Marshall,NYJ,WR,00-0024334,AWY,NYJ@Dal 08:25PM ET
0.0,1.0,1.0,3.0,293.0,0.0,0.0,0.0,0.0,15.0,5200,0.0,0.0,0.0,Brian Hoyer,HOU,QB,00-0026625,AWY,Hou@Ind 01:00PM ET
0.0,0.0,1.0,2.0,250.0,0.0,0.0,0.0,0.0,4.0,5100,0.0,0.0,0.0,Brock Osweiler,DEN,QB,00-0029682,AWY,Den@Pit 04:25PM ET
0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,6900,0.0,0.0,0.0,Calvin Johnson,DET,WR,00-0025389,AWY,Det@NO 08:30PM ET
0.0,1.0,1.0,5.0,331.0,0.0,0.0,0.0,1.0,49.0,7800,0.0,0.0,0.0,Cam Newton,CAR,QB,00-0027939,AWY,Car@NYG 01:00PM ET
2.0,0.0,1.0,4.0,374.0,0.0,0.0,0.0,1.0,6.0,7000,0.0,0.0,0.0,Carson Palmer,ARI,QB,00-0021429,AWY,Ari@Phi 08:30PM ET
0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,1.0,3600,0.0,0.0,0.0,Cecil Shorts,HOU,WR,00-0028052,AWY,Hou@Ind 01:00PM ET
1.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,49.0,3300,0.0,0.0,0.0,Charles Sims,TB,RB,00-0031390,AWY,TB@StL 08:25PM ET
1.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,47.0,5200,0.0,0.0,0.0,Chris Ivory,NYJ,RB,00-0027531,AWY,NYJ@Dal 08:25PM ET
0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,3000,0.0,0.0,0.0,Crockett Gillmore,BAL,TE,00-0030992,AWY,KC@Bal 01:00PM ET
