FumblesLost,OFRTD,PassingInterceptions,PassingTDs,PassingYards,ReceivingTDs,ReceivingYards,Receptions,RushingTDs,RushingYards,Salary,TwoPtsPassing,TwoPtsReceiving,TwoPtsRushing,Name,Team,Position,GSIS_ID,HmeFldAdv,NextGame
0.25,0,0,0,0,0.75,78.25,0,0,0,7900,0,0,0,A.J. Green,CIN,WR,00-0027942,HME,Cin@SF 04:25PM ET
0,0.3333333333,0.3333333333,1.6666666667,251,0,0,0,0,22.6666666667,7400,0,0,0,Aaron Rodgers,GB,QB,00-0023459,HME,GB@Oak 04:05PM ET
0.3333333333,0.3333333333,0,0,0,0,13.3333333333,0,0.6666666667,62.6666666667,7100,0,0,0,Adrian Peterson,MIN,RB,00-0025394,HME,Chi@Min 01:00PM ET
0,0.25,0.25,1.5,210.5,0,0,0,0.25,39.5,5100,0,0,0,Alex Smith,KC,QB,00-0023436,HME,KC@Bal 01:00PM ET
0,0,0,0,0,0.5,54.75,0,0,0,5600,0,0,0.25,Allen Hurns,JAC,WR,00-0030821,HME,Atl@Jax 01:00PM ET
0,0,0,0,0,0.75,67.75,0,0,0,7600,0,0,0.25,Allen Robinson,JAC,WR,00-0031428,HME,Atl@Jax 01:00PM ET
0,0,0,0,0,0.5,77,0,0,0,7300,0,0,0,Alshon Jeffery,CHI,WR,00-0029137,HME,Chi@Min 01:00PM ET
0,0,0,0,0,0,64.6666666667,0,0,-1.6666666667,6000,0,0,0,Amari Cooper,OAK,WR,00-0031544,HME,GB@Oak 04:05PM ET
0,0,0.6666666667,1.6666666667,195,0,0,0,0,20.3333333333,6500,0,0,0,Andrew Luck,IND,QB,00-0029668,HME,Hou@Ind 01:00PM ET
0,0,0.75,1.5,180.75,0,0,0,0,9.75,6400,0,0,0,Andy Dalton,CIN,QB,00-0027973,HME,Cin@SF 04:25PM ET
0,0,0,0,0,0,44,0,0,0,3900,0,0,0,Anquan Boldin,SF,WR,00-0022084,HME,Cin@SF 04:25PM ET
0.25,0,0,0,0,1.25,147,0,0,5.5,8700,0,0.25,0,Antonio Brown,PIT,WR,00-0027793,HME,Den@Pit 04:25PM ET
0,0,0,0,0,0,31.25,0,0,0,4600,0,0,0,Antonio Gates,SD,TE,00-0021547,HME,Mia@SD 04:25PM ET
0,0,0,0,0,0,15.5,0,0,0,3400,0,0,0,Austin Seferian-Jenkins,TB,TE,00-0031418,HME,TB@StL 08:25PM ET
0,0,1.25,2.5,334.75,0,0,0,0,2.75,6400,0.75,0,0,Ben Roethlisberger,PIT,QB,00-0022924,HME,Den@Pit 04:25PM ET
0,0,0,0,0,0.6666666667,81.6666666667,0,0,0,4800,0,0,0,Benjamin Watson,NO,TE,00-0022943,HME,Det@NO 08:30PM ET
0,0,0,0,0,0.25,13.25,0,0,16,3600,0,0,0,Bilal Powell,NYJ,RB,00-0028064,HME,NYJ@Dal 08:25PM ET
0,0,1,1,167.666666667,0,0,0,0,14.3333333333,5100,0,0,0,Blaine Gabbert,SF,QB,00-0027948,HME,Cin@SF 04:25PM ET
0.75,0,0.75,2,250.75,0,0,0,0.25,14,6100,0,0,0.25,Blake Bortles,JAC,QB,00-0031407,HME,Atl@Jax 01:00PM ET
0,0,0,0,0,1.3333333333,88.3333333333,0,0,-1,5900,0,0,0,Brandin Cooks,NO,WR,00-0031236,HME,Det@NO 08:30PM ET
0,0.25,0,0,0,1.25,80.75,0,0,0,7600,0,0,0,Brandon Marshall,NYJ,WR,00-0024334,HME,NYJ@Dal 08:25PM ET
0.25,0,0.25,1,148.75,0,0,0,0,-1.25,5200,0,0,0,Brian Hoyer,HOU,QB,00-0026625,HME,Hou@Ind 01:00PM ET
0,0,0.5,0.5,181,0,0,0,0,8,5100,0,0,0,Brock Osweiler,DEN,QB,00-0029682,HME,Den@Pit 04:25PM ET
0,0,0,0,0,1.25,77.75,0,0,0,6900,0,0,0,Calvin Johnson,DET,WR,00-0025389,HME,Det@NO 08:30PM ET
0.2,0,1,2.8,250.6,0,0,0,0.4,27.6,7800,0,0,0,Cam Newton,CAR,QB,00-0027939,HME,Car@NYG 01:00PM ET
0,0,0.6666666667,2.6666666667,300.666666667,0,0,0,0,1.3333333333,7000,0,0,0,Carson Palmer,ARI,QB,00-0021429,HME,Ari@Phi 08:30PM ET
0,0,0,0.25,5.25,0.25,19.5,0,0,11.5,3600,0,0,0,Cecil Shorts,HOU,WR,00-0028052,HME,Hou@Ind 01:00PM ET
0.25,0,0,0,0,0,25.5,0,0,40.5,3300,0,0,0,Charles Sims,TB,RB,00-0031390,HME,TB@StL 08:25PM ET
0.25,0,0,0,0,0,19.75,0,0.75,78.25,5200,0,0,0,Chris Ivory,NYJ,RB,00-0027531,HME,NYJ@Dal 08:25PM ET
