FumblesLost,OFRTD,PassingInterceptions,PassingTDs,PassingYards,ReceivingTDs,ReceivingYards,Receptions,RushingTDs,RushingYards,Salary,TwoPtsPassing,TwoPtsReceiving,TwoPtsRushing,Name,Team,Position,GSIS_ID,HmeFldAdv,NextGame
1.0,0.0,0.0,0.0,0.0,2.0,132.0,0.0,0.0,0.0,7900,0.0,0.0,0.0,A.J. Green,CIN,WR,00-0027942,HME,Cin@SF 04:25PM ET
0.0,1.0,1.0,2.0,333.0,0.0,0.0,0.0,0.0,33.0,7400,0.0,0.0,0.0,Aaron Rodgers,GB,QB,00-0023459,HME,GB@Oak 04:05PM ET
1.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,125.0,7100,0.0,0.0,0.0,Adrian Peterson,MIN,RB,00-0025394,HME,Chi@Min 01:00PM ET
0.0,1.0,1.0,2.0,255.0,0.0,0.0,0.0,1.0,78.0,5100,0.0,0.0,0.0,Alex Smith,KC,QB,00-0023436,HME,KC@Bal 01:00PM ET
0.0,0.0,0.0,0.0,0.0,1.0,105.0,0.0,0.0,0.0,5600,0.0,0.0,1.0,Allen Hurns,JAC,WR,00-0030821,HME,Atl@Jax 01:00PM ET
0.0,0.0,0.0,0.0,0.0,1.0,113.0,0.0,0.0,0.0,7600,0.0,0.0,1.0,Allen Robinson,JAC,WR,00-0031428,HME,Atl@Jax 01:00PM ET
0.0,0.0,0.0,0.0,0.0,1.0,116.0,0.0,0.0,0.0,7300,0.0,0.0,0.0,Alshon Jeffery,CHI,WR,00-0029137,HME,Chi@Min 01:00PM ET
0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,2.0,6000,0.0,0.0,0.0,Amari Cooper,OAK,WR,00-0031544,HME,GB@Oak 04:05PM ET
0.0,0.0,2.0,3.0,333.0,0.0,0.0,0.0,0.0,34.0,6500,0.0,0.0,0.0,Andrew Luck,IND,QB,00-0029668,HME,Hou@Ind 01:00PM ET
0.0,0.0,1.0,3.0,234.0,0.0,0.0,0.0,0.0,30.0,6400,0.0,0.0,0.0,Andy Dalton,CIN,QB,00-0027973,HME,Cin@SF 04:25PM ET
0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,3900,0.0,0.0,0.0,Anquan Boldin,SF,WR,00-0022084,HME,Cin@SF 04:25PM ET
1.0,0.0,0.0,0.0,0.0,2.0,284.0,0.0,0.0,22.0,8700,0.0,1.0,0.0,Antonio Brown,PIT,WR,00-0027793,HME,Den@Pit 04:25PM ET
0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,4600,0.0,0.0,0.0,Antonio Gates,SD,TE,00-0021547,HME,Mia@SD 04:25PM ET
0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,3400,0.0,0.0,0.0,Austin Seferian-Jenkins,TB,TE,00-0031418,HME,TB@StL 08:25PM ET
0.0,0.0,3.0,4.0,379.0,0.0,0.0,0.0,0.0,13.0,6400,1.0,0.0,0.0,Ben Roethlisberger,PIT,QB,00-0022924,HME,Den@Pit 04:25PM ET
0.0,0.0,0.0,0.0,0.0,1.0,147.0,0.0,0.0,0.0,4800,0.0,0.0,0.0,Benjamin Watson,NO,TE,00-0022943,HME,Det@NO 08:30PM ET
0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,36.0,3600,0.0,0.0,0.0,Bilal Powell,NYJ,RB,00-0028064,HME,NYJ@Dal 08:25PM ET
0.0,0.0,2.0,2.0,318.0,0.0,0.0,0.0,0.0,32.0,5100,0.0,0.0,0.0,Blaine Gabbert,SF,QB,00-0027948,HME,Cin@SF 04:25PM ET
2.0,0.0,1.0,3.0,329.0,0.0,0.0,0.0,1.0,33.0,6100,0.0,0.0,1.0,Blake Bortles,JAC,QB,00-0031407,HME,Atl@Jax 01:00PM ET
0.0,0.0,0.0,0.0,0.0,2.0,104.0,0.0,0.0,0.0,5900,0.0,0.0,0.0,Brandin Cooks,NO,WR,00-0031236,HME,Det@NO 08:30PM ET
0.0,1.0,0.0,0.0,0.0,2.0,131.0,0.0,0.0,0.0,7600,0.0,0.0,0.0,Brandon Marshall,NYJ,WR,00-0024334,HME,NYJ@Dal 08:25PM ET
1.0,0.0,1.0,2.0,235.0,0.0,0.0,0.0,0.0,0.0,5200,0.0,0.0,0.0,Brian Hoyer,HOU,QB,00-0026625,HME,Hou@Ind 01:00PM ET
