DefenseRecTDs,DefenseRecoveries,DefenseTDs,ExtraPointBlk,FGBlk,Interceptions,KickRetTDs,PassingTDsAllowed,PassingYardsAllowed,PointsGivenUp,PuntRetTDs,ReceptionsAllowed,RushingTDsAllowed,RushingYardsAllowed,Sacks,Safetys,Salary,Team
-1,-0.526159921,-1,-1,-1,0.215959468,-1,-0.2916174734,-0.1039564383,-0.271119448,-1,-0.1359861758,-0.3088552916,-0.3706629145,-0.5259259259,9.2127659575,0.4511627907,ARI
-1,-0.526159921,-1,-1,-1,0.519949335,-1,-0.0082644628,-0.1300547945,-0.08889931,-1,-0.1475063601,0.3822894168,0.1336838787,-0.5259259259,-1,-0.0697674419,ATL
-1,0.2635735439,1.0382165605,-1,5.4,-1,-1,-0.0554899646,-0.1622749873,-0.028159264,8.552238806,-0.1244659915,-0.5392368611,0.0233123341,-0.2098765432,-1,-0.2558139535,BAL
-1,0.1372161895,0.2229299363,-1,-1,0.215959468,-1,-0.093270366,-0.1076295403,0.0633080994,-1,-0.1705467287,0.1058315335,0.0648295774,-0.4311111111,-1,0.0418604651,BUF
-1,-0.368213228,3.076433121,-1,-1,1.0265991134,-1,-0.2443919717,-0.1416540639,-0.1139099172,-1,-0.0169442711,-0.0784737221,-0.5175813282,-0.2098765432,-1,0.2279069767,CAR
-1,1.5271470879,-1,-1,-1,-0.1893603547,-1,-0.6221959858,-0.1210331405,-0.3568701012,-1,-0.0015840253,-0.5392368611,0.0174648351,-0.2098765432,-1,-0.1069767442,CHI
-1,-0.368213228,-1,-1,5.4,1.431918936,-1,-0.0554899646,0.0426454389,-0.3282865501,-1,0.1212979408,-1,-0.2222826261,0.2641975309,-1,0.2651162791,CIN
-1,0.2635735439,-1,-1,-1,-0.5946801773,-1,0.1334120425,0.0297573618,0.21480092,-1,-0.0630250084,0.3822894168,0.0817873246,-0.2098765432,-1,-0.1069767442,CLE
-1,-0.6209279368,0.2229299363,-1,-1,-0.2704243192,-1,-0.4332939787,-0.1810915799,-0.1853687948,-1,-0.1521144338,0.1058315335,0.0279903334,0.1377777778,-1,-0.2186046512,DAL
-1,0.8953603159,1.0382165605,-1,-1,-0.1893603547,-1,-0.6221959858,-0.0733472551,-0.3568701012,8.552238806,-0.1244659915,-0.0784737221,-0.1257988917,0.1061728395,-1,0.2651162791,DEN
-1,-1,-1,-1,-1,-0.5946801773,-1,-0.2443919717,-0.2189825266,0.1719255934,-1,0.0598569577,1.7645788337,0.3332297839,0.1061728395,-1,0.0046511628,DET
-1,-0.0523198421,-1,-1,-1,-0.392020266,-1,-0.1499409681,0.1144964689,0.093320828,-1,-0.0323045169,0.7278617711,0.0635138901,0.0666666667,-1,0.1162790698,GB
