DefenseRecTDs,DefenseRecoveries,DefenseTDs,ExtraPointBlk,FGBlk,Interceptions,KickRetTDs,PassingTDsAllowed,PassingYardsAllowed,PointsGivenUp,PuntRetTDs,ReceptionsAllowed,RushingTDsAllowed,RushingYardsAllowed,Sacks,Safetys,Salary,Team
-1,1.1351125938,-1,-1,-1,-0.5598349381,-1,-0.1736604261,0.1715664587,0.0458259325,-1,0.0751104566,1.1787234043,-0.2854743415,0.3358380296,-1,0.4511627907,ARI
-1,-0.4662218515,-1,-1,-1,0.3204951857,-1,-0.3802453196,-0.2674462498,0.0155121374,-1,-0.1310751105,0.6340425532,0.20773806,-0.4656647881,-1,-0.0697674419,ATL
-1,1.0016680567,-1,18.2,-1,-0.6698762036,-1,0.7043253712,-0.097945781,0.0912966252,-1,-0.0500736377,-0.5914893617,-0.1084237358,-0.4990607389,-1,-0.2558139535,BAL
-1,-0.1993327773,-1,-1,-1,-0.3397524072,-1,-0.0703679793,0.1903998441,-0.1360568384,-1,0.1929307806,0.6340425532,0.1002430494,-0.1984971822,7.0672268908,0.0418604651,BUF
-1,1.5621351126,-1,-1,-1,1.1127922971,-1,-0.1323434474,-0.0281973122,-0.2088099467,-1,0.0692194404,-0.6731914894,-0.1425692098,0.7633061991,-1,0.2279069767,CAR
-1,-1,-1,-1,-1,-0.3397524072,-1,-0.2253066495,-0.0911267966,0.0230905861,-1,-0.1273932253,0.6340425532,0.2733416326,0.3024420789,-1,-0.1069767442,CHI
-1,-1,0.9277108434,-1,-1,0.6506189821,-1,-0.6901226598,-0.1222992966,-0.3179396092,-1,0.0824742268,0.2255319149,-0.2198707689,-0.09830933,-1,0.2651162791,CIN
-1,0.201000834,0.9277108434,-1,-1,-0.0096286107,-1,0.394448031,0.0121321097,0.2959147425,-1,-0.1494845361,-0.1829787234,0.0385914992,0.1020663745,-1,-0.1069767442,CLE
-1,-1,-1,-1,16.0666666667,-0.5598349381,-1,-0.586830213,-0.106388333,0.1973949082,-1,-0.11634757,0.6340425532,0.3089098346,-0.7328323941,-1,-0.2186046512,DAL
-1,-0.5996663887,-1,-1,-1,-1,-1,-0.0703679793,-0.3219981248,-0.113321492,-1,-0.2709867452,-0.1829787234,-0.3787420713,0.1020663745,3.0336134454,0.2651162791,DEN
-1,-0.1993327773,-1,-1,-1,-0.6698762036,-1,-0.0703679793,-0.0677474216,-0.0678507993,-1,-0.1053019146,-0.1829787234,-0.2293556227,0.4026299311,7.0672268908,0.0046511628,DET
-1,-1,-1,-1,-1,-0.1196698762,-1,-0.3802453196,-0.2778370831,-0.363410302,-1,-0.175257732,0.0893617021,0.0022328927,-0.5992485911,-1,0.1162790698,GB
-1,-0.5996663887,-1,-1,-1,0.3204951857,-1,-0.5351839897,-0.1807477341,-0.363410302,-1,-0.027982327,-0.1829787234,-0.2364692631,0.5028177833,-1,-0.0697674419,HOU
-1,-0.4662218515,-1,-1,-1,0.7606602476,-1,-0.1736604261,0.0468764587,-0.0451154529,-1,0.0309278351,0.6340425532,0.1065662853,0.0686704237,-1,-0.2558139535,IND
7.5714285714,0.6013344454,4.7831325301,-1,-1,-0.0096286107,-1,-0.0703679793,0.060839141,0.0344582593,8.6,0.0493372607,-0.5914893617,-0.0681131069,0.3024420789,-1,-0.1069767442,JAC
-1,0.6013344454,-1,-1,-1,0.6506189821,-1,-0.2253066495,-0.0356007809,-0.4543516874,-1,-0.0721649485,-1,-0.0491433991,0.4026299311,-1,0.376744186,KC
-1,-0.5996663887,2.8554216868,-1,-1,0.6506189821,-1,0.5493867011,0.115391016,0.0685612789,-1,0.1045655376,-0.5914893617,0.0030232972,-0.09830933,-1,0.0418604651,MIA
-1,-0.4662218515,-1,-1,-1,-1,15,0.0329244674,-0.1505493747,0.3034931912,-1,-0.1899852725,0.6340425532,0.4448594068,-0.3320809852,-1,-0.0697674419,MIN
-1,-0.0391993328,-1,-1,-1,-0.2077028886,-1,-0.3802453196,-0.0921009372,-0.1997158082,-1,-0.0633284242,-0.3463829787,-0.3113996088,-0.1183469004,2.2268907563,0.376744186,NE
4.7142857143,1.6688907423,1.5702811245,11.8,-1,-0.5598349381,-1,2.0987734022,0.3663945838,0.879455299,-1,0.2665684831,-0.4553191489,0.1824451163,-0.4656647881,-1,-0.2558139535,NO
-1,0.0675562969,1.5702811245,-1,-1,0.7606602476,15,0.0329244674,0.2352103129,0.0609828301,11.8,0.1634756996,0.0893617021,0.2646471832,-0.0649133793,-1,-0.1813953488,NYG
3.2857142857,0.201000834,0.9277108434,-1,-1,0.3204951857,-1,0.0845706908,0.1738394535,-0.1701598579,-1,0.0603829161,-1,-0.3313178019,0.7031934878,-1,0.2279069767,NYJ
-1,0.0675562969,-1,-1,7.5333333333,-0.5598349381,-1,0.0329244674,-0.2038023956,0.2731793961,-1,-0.1016200295,0.6340425532,0.3468492501,0.4694218326,-1,-0.2558139535,OAK
-1,-1,-1,-1,-1,-0.5598349381,-1,0.6526791478,-0.0505376039,0.2883362937,-1,-0.1310751105,-0.4553191489,0.6883039896,-0.1984971822,4.3781512605,-0.1813953488,PHI
-1,1.4020016681,-1,-1,5.4,0.9807427785,-1,0.0845706908,0.0949340629,-0.2042628774,8.6,0.1045655376,-0.5914893617,-0.321832948,0.3024420789,-1,0.0046511628,PIT
-1,-0.1993327773,0.9277108434,-1,-1,-0.3397524072,-1,-0.0703679793,0.0257700785,0.2390763766,-1,-0.0390279823,1.0425531915,0.2472582844,-0.3988728867,-1,-0.1813953488,SD
4.7142857143,0.0675562969,1.5702811245,-1,-1,1.2008253095,-1,0.0329244674,0.4508201046,0.2428656009,-1,0.2960235641,0.6340425532,-0.2601813978,-0.0649133793,-1,0.5627906977,SEA
-1,-0.4662218515,-1,-1,-1,-0.1196698762,-1,-0.586830213,0.0507730212,-0.1663706335,-1,0.0603829161,0.6340425532,-0.168494477,0.0686704237,-1,-0.2186046512,SF
2.4285714286,0.9216013344,2.0843373494,-1,-1,-0.7359009629,-1,-0.1323434474,0.0318097503,-0.1815275311,-1,0.1134020619,-0.3463829787,0.0604066631,0.2022542267,2.2268907563,0.0046511628,STL
-1,-1,-1,-1,-1,0.3204951857,-1,-0.2253066495,-0.0453421872,-0.0792184725,-1,0.1708394698,-0.5914893617,-0.2720374652,-0.1984971822,-1,-0.0325581395,TB
3.2857142857,-0.1993327773,0.9277108434,-1,-1,-0.3397524072,-1,0.5493867011,0.0910375004,0.1367673179,-1,0.0051546392,0.2255319149,-0.0254312644,-0.1984971822,-1,-0.2558139535,TEN
-1,1.0016680567,0.9277108434,-1,-1,0.6506189821,-1,-0.0703679793,0.021873516,-0.1246891652,-1,-0.0942562592,-0.5914893617,0.1334400379,-0.2986850344,-1,-0.1441860465,WAS
